Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007
Sub-Saharan Africa (IDA & IBRD countries),TSS,Urban population,SP.URB.TOTL,208604476,217045658,225886059,235096219,244719381,254841253,265359805,275977886
Trinidad and Tobago,TTO,Urban population,SP.URB.TOTL,708405,708525,709235,710363,711563,712646,713525,714283
Tunisia,TUN,Urban population,SP.URB.TOTL,6158199,6250281,6337547,6423160,6509470,6593359,6684241,6781439
Turkey,TUR,Urban population,SP.URB.TOTL,40942335,41943212,42978998,44016864,45048098,46065708,47064036,48048358
Tuvalu,TUV,Urban population,SP.URB.TOTL,4322,4401,4493,4634,4805,4968,5132,5288
Tanzania,TZA,Urban population,SP.URB.TOTL,7473331,7796647,8142549,8579713,9054501,9552983,10076209,10626393
Uganda,UGA,Urban population,SP.URB.TOTL,3496913,3707368,3932636,4172736,4427392,4695306,4978580,5277759
Ukraine,UKR,Urban population,SP.URB.TOTL,33019561,32692860,32432068,32238837,32075876,31932595,31801190,31694730
Upper middle income,UMC,Urban population,SP.URB.TOTL,1078461683,1106673966,1136277712,1166470296,1197048933,1227999250,1258620683,1289096146
Uruguay,URY,Urban population,SP.URB.TOTL,3055085,3069509,3078888,3085288,3091573,3099870,3111014,3124485
United States,USA,Urban population,SP.URB.TOTL,223069137,225792302,228400290,230876596,233532722,236200507,238999326,241795278
Uzbekistan,UZB,Urban population,SP.URB.TOTL,11370244,11634932,11900009,12162787,12428855,12700677,12984805,13301003
St. Vincent and the Grenadines,VCT,Urban population,SP.URB.TOTL,48705,49143,49631,50135,50631,51085,51490,51864
"Venezuela, RB",VEN,Urban population,SP.URB.TOTL,21182666,21651925,22057234,22460389,22858285,23248393,23622797,23979524
British Virgin Islands,VGB,Urban population,SP.URB.TOTL,8486,8693,8943,9236,9581,9984,10454,10980
Virgin Islands (U.S.),VIR,Urban population,SP.URB.TOTL,100587,100749,100952,101182,101373,101581,101716,101894
Vietnam,VNM,Urban population,SP.URB.TOTL,19477364,20134757,20800242,21474147,22163652,22870389,23598141,24347999
Vanuatu,VUT,Urban population,SP.URB.TOTL,40087,41537,43120,44808,46558,48342,50148,51984
World,WLD,Urban population,SP.URB.TOTL,2853928243,2918724283,2987260356,3056809211,3127682788,3199824687,3272625329,3345847975
Samoa,WSM,Urban population,SP.URB.TOTL,38340,38706,38706,38510,38322,38133,37949,37774
Kosovo,XKX,Urban population,SP.URB.TOTL,,,,,,,,
"Yemen, Rep.",YEM,Urban population,SP.URB.TOTL,4572841,4799794,5037892,5287133,5547433,5818282,6100787,6395608
South Africa,ZAF,Urban population,SP.URB.TOTL,25582582,26143327,26720456,27305505,27898739,28506191,29131015,29774437
Zambia,ZMB,Urban population,SP.URB.TOTL,3624956,3742483,3892212,4046911,4207899,4376258,4552287,4736246
Zimbabwe,ZWE,Urban population,SP.URB.TOTL,4010951,4074399,4134392,4131349,4122108,4119361,4123874,4135515
